329529481,758080062,2020-04-01,4,NT,P,19189,EX,DAX,UNCLASSIFIED,BLUE,PE,3948,1971-01-01,ERROR - Less than 14 OR UNCLASSIFIED
1286109489,1456331997,2020-04-01,4,NT,P,8398,WR,CHEVROLET,UNCLASSIFIED,WHITE,PE,2000,2016-12-31,ERROR - Less than 14 OR UNCLASSIFIED
1124473229,812308844,2020-04-01,4,NT,P,52524,NW,LAND ROVER,UNCLASSIFIED,GREEN,PE,2286,1980-12-30,ERROR - Less than 14 OR UNCLASSIFIED
647925211,1336428384,2020-04-01,4,NT,P,55256,B,MERCEDES-BENZ,UNCLASSIFIED,BLUE,DI,2148,2008-04-01,ERROR - Less than 14 OR UNCLASSIFIED
1313977411,891049554,2020-04-01,1,RT,P,,PH,KTM,UNCLASSIFIED,ORANGE,PE,198,1998-06-12,ERROR - Less than 14 OR UNCLASSIFIED
500521373,438480366,2020-04-01,4,NT,F,144709,E,BMW,UNCLASSIFIED,BLUE,DI,,2006-09-04,ERROR - Less than 14 OR UNCLASSIFIED
976074521,1376889758,2020-04-01,4,NT,P,56339,G,FIAT,UNCLASSIFIED,WHITE,DI,1248,2012-11-09,ERROR - Less than 14 OR UNCLASSIFIED
385614493,229750835,2020-04-01,4,NT,F,838,CF,JAGO,UNCLASSIFIED,GREEN,PE,1300,1984-06-20,ERROR - Less than 14 OR UNCLASSIFIED
1532445799,1309525363,2020-04-01,4,NT,P,17347,LU,JAGUAR,UNCLASSIFIED,BLACK,DI,2993,2017-12-31,ERROR - Less than 14 OR UNCLASSIFIED
472105309,1031242956,2020-04-01,4,NT,F,83117,TN,NISSAN,UNCLASSIFIED,BLACK,PE,3490,2004-01-01,ERROR - Less than 14 OR UNCLASSIFIED
1402011239,1425679590,2020-04-01,2,RT,P,21252,NG,HARLEY DAVIDSON,UNCLASSIFIED,MULTI-COLOUR,PE,883,1992-09-15,ERROR - Less than 14 OR UNCLASSIFIED
95086685,366131851,2020-04-01,2,NT,P,3258,DL,APRILIA,UNCLASSIFIED,MULTI-COLOUR,LP,125,1995-04-07,ERROR - Less than 14 OR UNCLASSIFIED
1953107779,823390233,2020-04-01,4,NT,P,22354,AB,FIAT,UNCLASSIFIED,WHITE,DI,2287,2015-04-04,ERROR - Less than 14 OR UNCLASSIFIED
1481834499,1116803334,2020-04-01,4,NT,P,3000,CF,APACHIE,UNCLASSIFIED,RED,PE,359,2010-08-17,ERROR - Less than 14 OR UNCLASSIFIED
1657703181,400227105,2020-04-01,2,NT,PRS,,CB,YAMAHA,UNCLASSIFIED,BLUE,PE,450,2017-01-01,ERROR - Less than 14 OR UNCLASSIFIED
1520004143,1154846055,2020-04-01,4,NT,P,52942,RH,MAZDA,UNCLASSIFIED,WHITE,PE,1830,1995-04-01,ERROR - Less than 14 OR UNCLASSIFIED
859275461,1430104639,2020-04-01,4,RT,P,65289,RG,MAZDA,UNCLASSIFIED,RED,DI,2191,2014-03-25,ERROR - Less than 14 OR UNCLASSIFIED
1031213443,155347588,2020-04-01,7,NT,F,211062,M,MERCEDES,UNCLASSIFIED,WHITE,DI,2148,2009-07-20,ERROR - Less than 14 OR UNCLASSIFIED
